question,answer
"Peace be upon you","And upon you be peace and mercy of Allah. Welcome to Al-Ola Tech Solutions."
"Hello","Welcome! How can we assist you today?"
"Good morning","Good morning to you. We wish you a happy day. How can we serve you?"
"Good evening","Good evening. Please go ahead, we are at your service."
"Hi","Hello and welcome. You have brightened up Al-Ola Company."
"How are you?","We are well, thank you for asking. How can we help you?"
"How is it going?","In the best condition, and we are always happy to hear from you."
"Can I ask a question?","Of course, please ask your question and we are here to answer."
"Is anyone here?","Yes, the Al-Ola support team is with you. Please go ahead."
"Who are you?","We are Al-Ola Tech Solutions, providing integrated software and technical services."
"What are your services?","We offer web design, mobile apps, networking, security systems, and digital marketing."
"Where are you located?","Our headquarters is in Baghdad, and we would be happy to have you visit."
"What is the company address?","Detailed address: Baghdad, [Street Name], near [Landmark]."
"Do you have other branches?","Currently, our main headquarters is in Baghdad, and we provide our services to all provinces remotely."
"What are your working hours?","We work from Saturday to Thursday, from 9 AM to 5 PM."
"Are you open on Friday?","Friday is our weekly holiday, but you can leave a message and we will reply on Saturday."
"How do I contact you?","You can call us on the short code or message us via WhatsApp and email."
"What is the phone number?","Our unified number is: 6655 (example), or Mobile: 07700000000."
"What is the official email?","Email: info@alola-tech.com."
"Do you have a Facebook page?","Yes, search for 'Al-Ola Tech Solutions' on Facebook."
"Do you have Instagram?","Yes, our account is @AlolaTech."
"I want to design a website","Excellent! We specialize in web design. What type of website do you want?"
"How much does website design cost?","The price depends on the type (profile, store, platform). Can you provide us with details?"
"Do you design online stores?","Yes, we design integrated online stores with payment gateways and inventory systems."
"How long does it take to design a website?","Corporate profile sites take 5-10 days; large stores may take longer."
"Is the website mobile responsive?","Certainly, all our websites are Responsive and work perfectly on phones."
"Do you provide hosting services?","Yes, we provide fast and secure hosting with domain registration."
"Do you have app development services?","Yes, we develop Native and Cross-platform apps for iPhone and Android."
"I want an app like Uber","We can do that! Delivery apps require specific features; let's discuss the details."
"How much does a mobile app cost?","App cost depends on features (maps, payment, chat). We need details to provide a quote."
"Are the apps you design secure?","Security is our priority; we use the latest encryption and protection protocols."
"Do you upload the app to the store?","Yes, we handle uploading the app to Google Play and Apple App Store."
"Do you provide technical support after sales?","Yes, we offer free technical support for one year on software."
"Do you have accounting systems?","Yes, we have the 'Al-Ola ERP' system for managing accounts, warehouses, and sales."
"Does the system support barcodes?","Yes, our system supports barcode readers and thermal invoice printing."
"Does the system work online or offline?","We offer two versions: Cloud (works from anywhere) and Local (inside the company)."
"I need an HR system","We have an integrated HR system for managing salaries, leaves, and attendance."
"Do you have camera solutions?","Yes, we supply and install surveillance cameras (Hikvision, Dahua) for homes and companies."
"What camera resolutions are available?","We offer various resolutions from 2MP up to 8MP (4K) depending on your need."
"Can I watch cameras from my mobile?","Yes, we connect cameras to the internet to enable you to monitor via your phone from anywhere."
"Do you install networks?","Yes, our networking team installs and programs servers and PBX systems."
"I need a server for my company","We can set up a full Data Center or local servers depending on your data volume."
"Do you have fingerprint devices?","Yes, we provide face and fingerprint attendance devices for employees and door access."
"What are your marketing services?","We manage social media pages, launch paid ad campaigns, and improve search engines (SEO)."
"I want to increase my sales","We can create a comprehensive marketing plan targeting your audience precisely to increase sales."
"How much does page management cost?","We have monthly packages starting at reasonable prices. Would you like to see the packages?"
"Do you design logos?","Yes, we have a graphic design department for visual identity and logo design."
"I need a motion graphics video","We offer motion graphics services to explain your services creatively."
"Do you have solar energy solutions?","Currently, we specialize in IT and security systems only."
"Do you sell laptops?","We are a solutions and software company, but we can supply devices for large projects."
"Do you accept Visa payments?","Yes, we accept Cash, ZainCash, and Bank Transfer."
"Is there an installment plan?","Yes, for some large projects, we offer flexible payment plans."
"How do I get a price quote?","You can send your requirements and we will send you an official quotation within 24 hours."
"Are prices in Dollars or Dinars?","We deal in both currencies according to the prevailing daily exchange rate."
"Do you have job vacancies?","You can follow our LinkedIn page or send your CV to hr@alola-tech.com."
"I want summer training","We open training for students during the summer break; follow our announcements."
"Do you offer educational courses?","We hold technical workshops periodically."
"I have a problem with the system, what do I do?","Please contact the technical support department immediately via the maintenance number."
"I forgot the system password","Don't worry, contact technical support and we will reset it for you."
"The website is slow, what is the solution?","We may need to check the hosting or optimize images; our team will investigate."
